; 11/28/95		14:29:18
	db	115			; defence ratio
	db	075			; quick ratio
	db	050			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	060			; obtain ratio
	db	206			; experience value
	db	077h			; Monster yx size
	dw	monschr138		; BitImage data (front)
	dw	monschr138b		; BitImage data (back)
	db	145			; skill 1
	db	043			; skill 2
	db	011			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100100b, 01111111b, 00001000b, 11000000b
	db	00000010b, 00001000b, 00110110b, 00000000b

mons100$:
	db	100			; old number = 006
	db	040			; hit point(max)
	db	030			; attack point
	db	050			; defence ratio
	db	100			; quick ratio
	db	055			; special ability
	db	THUNDER_TYPE
	db	THUNDER_TYPE
	db	190			; obtain ratio
	db	103			; experience value
	db	055h			; Monster yx size
	dw	monschr06		; BitImage data (front)
	dw	monschr06b		; BitImage data (back)
	db	033			; skill 1
	db	103			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100000b, 00000001b, 10001000b, 11100001b
	db	01001011b, 01011000b, 01000010b, 00000000b

mons101$:
	db	101			; old number = 141
	db	060			; hit point(max)
	db	050			; attack point
	db	070			; defence ratio
	db	140			; quick ratio
	db	080			; special ability
	db	THUNDER_TYPE
	db	THUNDER_TYPE
	db	060			; obtain ratio
	db	150			; experience value
	db	055h			; Monster yx size
	dw	monschr141		; BitImage data (front)
	dw	monschr141b		; BitImage data (back)
	db	033			; skill 1
	db	103			; skill 2
	db	049			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100000b, 01000001b, 10001000b, 11100001b
	db	11001011b, 01011000b, 01000010b, 00000000b

mons102$:
	db	102			; old number = 012
	db	060			; hit point(max)
	db	040			; attack point
	db	080			; defence ratio
	db	040			; quick ratio
	db	060			; special ability
	db	KUSA_TYPE
	db	SP_TYPE
	db	090			; obtain ratio
	db	098			; experience value
	db	077h			; Monster yx size
	dw	monschr12		; BitImage data (front)
	dw	monschr12b		; BitImage data (back)
	db	140			; skill 1
	db	095			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00100000b, 00000011b, 00001000b, 11110000b
	db	00011011b, 01101000b, 00000010b, 00000000b

mons103$:
	db	103			; old number = 010
	db	095			; hit point(max)
	db	095			; attack point
	db	085			; defence ratio
	db	055			; quick ratio
	db	125			; special ability
	db	KUSA_TYPE
	db	SP_TYPE
	db	045			; obtain ratio
	db	212			; experience value
	db	077h			; Monster yx size
	dw	monschr10		; BitImage data (front)
	dw	monschr10b		; BitImage data (back)
	db	140			; skill 1
	db	095			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00100000b, 01000011b, 00111000b, 11110000b
	db	00011011b, 01101000b, 00100010b, 00000000b

mons104$:
	db	104			; old number = 017
	db	050			; hit point(max)
	db	050			; attack point
	db	095			; defence ratio
	db	035			; quick ratio
	db	040			; special ability
	db	JIMEN_TYPE
	db	JIMEN_TYPE
	db	190			; obtain ratio
	db	087			; experience value
	db	055h			; Monster yx size
	dw	monschr17		; BitImage data (front)
	dw	monschr17b		; BitImage data (back)
	db	125			; skill 1
	db	045			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 00111111b, 00001111b, 11001110b
	db	10100010b, 00001000b, 00100010b, 00000000b

mons105$:
	db	105			; old number = 145
	db	060			; hit point(max)
	db	080			; attack point
	db	110			; defence ratio
	db	045			; quick ratio
	db	050			; special ability
	db	JIMEN_TYPE
	db	JIMEN_TYPE
	db	075			; obtain ratio
	db	124			; experience value
	db	066h			; Monster yx size
	dw	monschr145		; BitImage data (front)
	dw	monschr145b		; BitImage data (back)
	db	125			; skill 1
	db	045			; skill 2
	db	043			; skill 3
	db	116			; skill 4
	db	000			; pttern of experience
	db	10110001b, 01111111b, 00001111b, 11001110b
	db	10100010b, 00001000b, 00100010b, 00000000b

mons106$:
	db	106			; old number = 043
	db	050			; hit point(max)
	db	120			; attack point
	db	053			; defence ratio
	db	087			; quick ratio
	db	035			; special ability
	db	BATTLE_TYPE
	db	BATTLE_TYPE
	db	045			; obtain ratio
	db	139			; experience value
	db	077h			; Monster yx size
	dw	monschr43		; BitImage data (front)
	dw	monschr43b		; BitImage data (back)
	db	024			; skill 1
	db	096			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 00000011b, 00001111b, 11000000b
	db	11000110b, 00001000b, 00100010b, 00000000b

mons107$:
	db	107			; old number = 044
	db	050			; hit point(max)
	db	105			; attack point
	db	079			; defence ratio
	db	076			; quick ratio
	db	035			; special ability
	db	BATTLE_TYPE
	db	BATTLE_TYPE
	db	045			; obtain ratio
	db	140			; experience value
	db	066h			; Monster yx size
	dw	monschr44		; BitImage data (front)
	dw	monschr44b		; BitImage data (back)
	db	004			; skill 1
	db	097			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 00000011b, 00001111b, 11000000b
	db	11000110b, 00001000b, 00100010b, 00000000b

mons108$:
	db	108			; old number = 011
	db	090			; hit point(max)
	db	055			; attack point
	db	075			; defence ratio
	db	030			; quick ratio
	db	060			; special ability
	db	000
	db	000
	db	045			; obtain ratio
	db	127			; experience value
	db	077h			; Monster yx size
	dw	monschr11		; BitImage data (front)
	dw	monschr11b		; BitImage data (back)
	db	035			; skill 1
	db	048			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110101b, 01111111b, 10001111b, 11000111b
	db	10100010b, 00001000b, 00110110b, 00000000b

mons109$:
	db	109			; old number = 055
	db	040			; hit point(max)
	db	065			; attack point
	db	095			; defence ratio
	db	035			; quick ratio
	db	060			; special ability
	db	POISON_TYPE
	db	POISON_TYPE
	db	190			; obtain ratio
	db	114			; experience value
	db	066h			; Monster yx size
	dw	monschr55		; BitImage data (front)
	dw	monschr55b		; BitImage data (back)
	db	033			; skill 1
	db	123			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100000b, 00000000b, 10001000b, 11000001b
	db	00101010b, 01001000b, 00000010b, 00000000b

mons110$:
	db	110			; old number = 143
	db	065			; hit point(max)
	db	090			; attack point
	db	120			; defence ratio
	db	060			; quick ratio
	db	085			; special ability
	db	POISON_TYPE
	db	POISON_TYPE
	db	060			; obtain ratio
	db	173			; experience value
	db	077h			; Monster yx size
	dw	monschr143		; BitImage data (front)
	dw	monschr143b		; BitImage data (back)
	db	033			; skill 1
	db	123			; skill 2
	db	124			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100000b, 01000000b, 10001000b, 11000001b
	db	00101010b, 01001000b, 00000010b, 00000000b

mons111$:
	db	111			; old number = 018
	db	080			; hit point(max)
	db	085			; attack point
	db	095			; defence ratio
	db	025			; quick ratio
	db	030			; special ability
	db	JIMEN_TYPE
	db	ISHI_TYPE
	db	120			; obtain ratio
	db	135			; experience value
	db	077h			; Monster yx size
	dw	monschr18		; BitImage data (front)
	dw	monschr18b		; BitImage data (back)
	db	030			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	11100000b, 00000011b, 10001000b, 11001111b
	db	10100010b, 10001000b, 00100010b, 00000000b

mons112$:
	db	112			; old number = 001
	db	105			; hit point(max)
	db	130			; attack point
	db	120			; defence ratio
	db	040			; quick ratio
	db	045			; special ability
	db	JIMEN_TYPE
	db	ISHI_TYPE
	db	060			; obtain ratio
	db	204			; experience value
	db	077h			; Monster yx size
	dw	monschr01		; BitImage data (front)
	dw	monschr01b		; BitImage data (back)
	db	030			; skill 1
	db	023			; skill 2
	db	039			; skill 3
	db	031			; skill 4
	db	005			; pttern of experience
	db	11110001b, 11111111b, 10001111b, 11001111b
	db	10100010b, 10001000b, 00110010b, 00000000b

mons113$:
	db	113			; old number = 040
	db	250			; hit point(max)
	db	005			; attack point
	db	005			; defence ratio
	db	050			; quick ratio
	db	105			; special ability
	db	000
	db	000
	db	030			; obtain ratio
	db	255			; experience value
	db	066h			; Monster yx size
	dw	monschr40		; BitImage data (front)
	dw	monschr40b		; BitImage data (back)
	db	001			; skill 1
	db	003			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	004			; pttern of experience
	db	10110001b, 01111111b, 10101111b, 11110001b
	db	10110111b, 00111001b, 01100011b, 00000000b

mons114$:
	db	114			; old number = 030
	db	065			; hit point(max)
	db	055			; attack point
	db	115			; defence ratio
	db	060			; quick ratio
	db	100			; special ability
	db	KUSA_TYPE
	db	KUSA_TYPE
	db	045			; obtain ratio
	db	166			; experience value
	db	066h			; Monster yx size
	dw	monschr30		; BitImage data (front)
	dw	monschr30b		; BitImage data (back)
	db	132			; skill 1
	db	020			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100100b, 01000011b, 00111000b, 11000000b
	db	10000010b, 00001000b, 00000110b, 00000000b

mons115$:
	db	115			; old number = 002
	db	105			; hit point(max)
	db	095			; attack point
	db	080			; defence ratio
	db	090			; quick ratio
	db	040			; special ability
	db	000
	db	000
	db	045			; obtain ratio
	db	175			; experience value
	db	077h			; Monster yx size
	dw	monschr02		; BitImage data (front)
	dw	monschr02b		; BitImage data (back)
	db	004			; skill 1
	db	099			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 01111111b, 10001111b, 11000111b
	db	10100010b, 10001000b, 00110010b, 00000000b

mons116$:
	db	116			; old number = 092
	db	030			; hit point(max)
	db	040			; attack point
	db	070			; defence ratio
	db	060			; quick ratio
	db	070			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	225			; obtain ratio
	db	083			; experience value
	db	055h			; Monster yx size
	dw	monschr92		; BitImage data (front)
	dw	monschr92b		; BitImage data (back)
	db	145			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100000b, 00111111b, 00001000b, 11000000b
	db	11000010b, 00001000b, 00010010b, 00000000b

mons117$:
	db	117			; old number = 093
	db	055			; hit point(max)
	db	065			; attack point
	db	095			; defence ratio
	db	085			; quick ratio
	db	095			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	075			; obtain ratio
	db	155			; experience value
	db	066h			; Monster yx size
	dw	monschr93		; BitImage data (front)
	dw	monschr93b		; BitImage data (back)
	db	145			; skill 1
	db	108			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100000b, 01111111b, 00001000b, 11000000b
	db	11000010b, 00001000b, 00010010b, 00000000b

mons118$:
	db	118			; old number = 157
	db	045			; hit point(max)
	db	067			; attack point
	db	060			; defence ratio
	db	063			; quick ratio
	db	050			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	225			; obtain ratio
	db	111			; experience value
	db	066h			; Monster yx size
	dw	monschr157		; BitImage data (front)
	dw	monschr157b		; BitImage data (back)
	db	064			; skill 1
	db	039			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	01100000b, 00111111b, 00001000b, 11000000b
	db	11000010b, 00001000b, 00010010b, 00000000b

mons119$:
	db	119			; old number = 158
	db	080			; hit point(max)
	db	092			; attack point
	db	065			; defence ratio
	db	068			; quick ratio
	db	080			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	060			; obtain ratio
	db	170			; experience value
	db	077h			; Monster yx size
	dw	monschr158		; BitImage data (front)
	dw	monschr158b		; BitImage data (back)
	db	064			; skill 1
	db	039			; skill 2
	db	048			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	01100000b, 01111111b, 00001000b, 11000000b
	db	11000010b, 00001000b, 00010010b, 00000000b

mons120$:
	db	120			; old number = 027
	db	030			; hit point(max)
	db	045			; attack point
	db	055			; defence ratio
	db	085			; quick ratio
	db	070			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	225			; obtain ratio
	db	106			; experience value
	db	066h			; Monster yx size
	dw	monschr27		; BitImage data (front)
	dw	monschr27b		; BitImage data (back)
	db	033			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00100000b, 00111111b, 10001000b, 11110001b
	db	11000011b, 00111000b, 01010011b, 00000000b

mons121$:
	db	121			; old number = 152
	db	060			; hit point(max)
	db	075			; attack point
	db	085			; defence ratio
	db	115			; quick ratio
	db	100			; special ability
	db	WATER_TYPE
	db	SP_TYPE
	db	060			; obtain ratio
	db	207			; experience value
	db	066h			; Monster yx size
	dw	monschr152		; BitImage data (front)
	dw	monschr152b		; BitImage data (back)
	db	033			; skill 1
	db	055			; skill 2
	db	106			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00100000b, 01111111b, 10001000b, 11110001b
	db	11000011b, 00111000b, 01010011b, 00000000b

mons122$:
	db	122			; old number = 042
	db	040			; hit point(max)
	db	045			; attack point
	db	065			; defence ratio
	db	090			; quick ratio
	db	100			; special ability
	db	SP_TYPE
	db	SP_TYPE
	db	045			; obtain ratio
	db	136			; experience value
	db	066h			; Monster yx size
	dw	monschr42		; BitImage data (front)
	dw	monschr42b		; BitImage data (back)
	db	093			; skill 1
	db	112			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 01000011b, 10101111b, 11110001b
	db	10000111b, 00111000b, 01000010b, 00000000b

mons123$:
	db	123			; old number = 026
	db	070			; hit point(max)
	db	110			; attack point
	db	080			; defence ratio
	db	105			; quick ratio
	db	055			; special ability
	db	MUSHI_TYPE
	db	HIKOU_TYPE
	db	045			; obtain ratio
	db	187			; experience value
	db	077h			; Monster yx size
	dw	monschr26		; BitImage data (front)
	dw	monschr26b		; BitImage data (back)
	db	098			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100100b, 01000011b, 00001000b, 11000000b
	db	11000010b, 00001000b, 00000110b, 00000000b

mons124$:
	db	124			; old number = 072
	db	065			; hit point(max)
	db	050			; attack point
	db	035			; defence ratio
	db	095			; quick ratio
	db	095			; special ability
	db	KOORI_TYPE
	db	SP_TYPE
	db	045			; obtain ratio
	db	137			; experience value
	db	066h			; Monster yx size
	dw	monschr72		; BitImage data (front)
	dw	monschr72b		; BitImage data (back)
	db	001			; skill 1
	db	142			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 01111111b, 00001111b, 11110000b
	db	10000111b, 00101000b, 00000010b, 00000000b

mons125$:
	db	125			; old number = 053
	db	065			; hit point(max)
	db	083			; attack point
	db	057			; defence ratio
	db	105			; quick ratio
	db	085			; special ability
	db	THUNDER_TYPE
	db	THUNDER_TYPE
	db	045			; obtain ratio
	db	156			; experience value
	db	066h			; Monster yx size
	dw	monschr53		; BitImage data (front)
	dw	monschr53b		; BitImage data (back)
	db	098			; skill 1
	db	043			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 01000011b, 10001111b, 11110001b
	db	11000111b, 00111000b, 01100010b, 00000000b

mons126$:
	db	126			; old number = 051
	db	065			; hit point(max)
	db	095			; attack point
	db	057			; defence ratio
	db	093			; quick ratio
	db	085			; special ability
	db	FIRE_TYPE
	db	FIRE_TYPE
	db	045			; obtain ratio
	db	167			; experience value
	db	066h			; Monster yx size
	dw	monschr51		; BitImage data (front)
	dw	monschr51b		; BitImage data (back)
	db	052			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110001b, 01000011b, 00001111b, 11110000b
	db	10100110b, 00101000b, 00100010b, 00000000b

mons127$:
	db	127			; old number = 029
	db	065			; hit point(max)
	db	125			; attack point
	db	100			; defence ratio
	db	085			; quick ratio
	db	055			; special ability
	db	MUSHI_TYPE
	db	MUSHI_TYPE
	db	045			; obtain ratio
	db	200			; experience value
	db	077h			; Monster yx size
	dw	monschr29		; BitImage data (front)
	dw	monschr29b		; BitImage data (back)
	db	011			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	10100100b, 01000011b, 00001101b, 11000000b
	db	00000010b, 00001000b, 00100110b, 00000000b

mons128$:
	db	128			; old number = 060
	db	075			; hit point(max)
	db	100			; attack point
	db	095			; defence ratio
	db	110			; quick ratio
	db	070			; special ability
	db	000
	db	000
	db	045			; obtain ratio
	db	211			; experience value
	db	077h			; Monster yx size
	dw	monschr60		; BitImage data (front)
	dw	monschr60b		; BitImage data (back)
	db	033			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	11100000b, 01110011b, 10001000b, 11000111b
	db	10100010b, 00001000b, 00100010b, 00000000b

mons129$:
	db	129			; old number = 133
	db	020			; hit point(max)
	db	010			; attack point
	db	055			; defence ratio
	db	080			; quick ratio
	db	020			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	255			; obtain ratio
	db	020			; experience value
	db	066h			; Monster yx size
	dw	monschr133		; BitImage data (front)
	dw	monschr133b		; BitImage data (back)
	db	150			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00000000b, 00000000b, 00000000b, 00000000b
	db	00000000b, 00000000b, 00000000b, 00000000b

mons130$:
	db	130			; old number = 022
	db	095			; hit point(max)
	db	125			; attack point
	db	079			; defence ratio
	db	081			; quick ratio
	db	100			; special ability
	db	WATER_TYPE
	db	HIKOU_TYPE
	db	045			; obtain ratio
	db	214			; experience value
	db	077h			; Monster yx size
	dw	monschr22		; BitImage data (front)
	dw	monschr22b		; BitImage data (back)
	db	044			; skill 1
	db	082			; skill 2
	db	043			; skill 3
	db	056			; skill 4
	db	005			; pttern of experience
	db	10100000b, 01111111b, 11001000b, 11000001b
	db	10100011b, 00001000b, 00110010b, 00000000b

mons131$:
	db	131			; old number = 019
	db	130			; hit point(max)
	db	085			; attack point
	db	080			; defence ratio
	db	060			; quick ratio
	db	095			; special ability
	db	WATER_TYPE
	db	KOORI_TYPE
	db	045			; obtain ratio
	db	219			; experience value
	db	077h			; Monster yx size
	dw	monschr19		; BitImage data (front)
	dw	monschr19b		; BitImage data (back)
	db	055			; skill 1
	db	045			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	11100000b, 01111111b, 11101000b, 11010001b
	db	10000011b, 00101000b, 00110010b, 00000000b

mons132$:
	db	132			; old number = 076
	db	048			; hit point(max)
	db	048			; attack point
	db	048			; defence ratio
	db	048			; quick ratio
	db	048			; special ability
	db	000
	db	000
	db	035			; obtain ratio
	db	061			; experience value
	db	055h			; Monster yx size
	dw	monschr76		; BitImage data (front)
	dw	monschr76b		; BitImage data (back)
	db	144			; skill 1
	db	000			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00000000b, 00000000b, 00000000b, 00000000b
	db	00000000b, 00000000b, 00000000b, 00000000b

mons133$:
	db	133			; old number = 102
	db	055			; hit point(max)
	db	055			; attack point
	db	050			; defence ratio
	db	055			; quick ratio
	db	065			; special ability
	db	000
	db	000
	db	045			; obtain ratio
	db	092			; experience value
	db	055h			; Monster yx size
	dw	monschr102		; BitImage data (front)
	dw	monschr102b		; BitImage data (back)
	db	033			; skill 1
	db	028			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 00000011b, 00001000b, 11000000b
	db	11000011b, 00001000b, 00000010b, 00000000b

mons134$:
	db	134			; old number = 105
	db	130			; hit point(max)
	db	065			; attack point
	db	060			; defence ratio
	db	065			; quick ratio
	db	110			; special ability
	db	WATER_TYPE
	db	WATER_TYPE
	db	045			; obtain ratio
	db	196			; experience value
	db	066h			; Monster yx size
	dw	monschr105		; BitImage data (front)
	dw	monschr105b		; BitImage data (back)
	db	033			; skill 1
	db	028			; skill 2
	db	098			; skill 3
	db	055			; skill 4
	db	000			; pttern of experience
	db	10100000b, 01111111b, 00001000b, 11000000b
	db	11000011b, 00001000b, 00010010b, 00000000b

mons135$:
	db	135			; old number = 104
	db	065			; hit point(max)
	db	065			; attack point
	db	060			; defence ratio
	db	130			; quick ratio
	db	110			; special ability
	db	THUNDER_TYPE
	db	THUNDER_TYPE
	db	045			; obtain ratio
	db	197			; experience value
	db	066h			; Monster yx size
	dw	monschr104		; BitImage data (front)
	dw	monschr104b		; BitImage data (back)
	db	033			; skill 1
	db	028			; skill 2
	db	098			; skill 3
	db	084			; skill 4
	db	000			; pttern of experience
	db	10100000b, 01000011b, 10001000b, 11000001b
	db	11000011b, 00011000b, 01000010b, 00000000b

mons136$:
	db	136			; old number = 103
	db	065			; hit point(max)
	db	130			; attack point
	db	060			; defence ratio
	db	065			; quick ratio
	db	110			; special ability
	db	FIRE_TYPE
	db	FIRE_TYPE
	db	045			; obtain ratio
	db	198			; experience value
	db	066h			; Monster yx size
	dw	monschr103		; BitImage data (front)
	dw	monschr103b		; BitImage data (back)
	db	033			; skill 1
	db	028			; skill 2
	db	098			; skill 3
	db	052			; skill 4
	db	000			; pttern of experience
	db	10100000b, 01000011b, 00001000b, 11000000b
	db	11100011b, 00001000b, 00000010b, 00000000b

mons137$:
	db	137			; old number = 170
	db	065			; hit point(max)
	db	060			; attack point
	db	070			; defence ratio
	db	040			; quick ratio
	db	075			; special ability
	db	000
	db	000
	db	045			; obtain ratio
	db	130			; experience value
	db	066h			; Monster yx size
	dw	monschr170		; BitImage data (front)
	dw	monschr170b		; BitImage data (back)
	db	033			; skill 1
	db	159			; skill 2
	db	160			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	00100000b, 01110011b, 10001000b, 11110001b
	db	11000011b, 00111000b, 01000011b, 00000000b

mons138$:
	db	138			; old number = 098
	db	035			; hit point(max)
	db	040			; attack point
	db	100			; defence ratio
	db	035			; quick ratio
	db	090			; special ability
	db	ISHI_TYPE
	db	WATER_TYPE
	db	045			; obtain ratio
	db	120			; experience value
	db	055h			; Monster yx size
	dw	monschr98		; BitImage data (front)
	dw	monschr98b		; BitImage data (back)
	db	055			; skill 1
	db	110			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 00111111b, 00001000b, 11000000b
	db	00000011b, 00001000b, 00010010b, 00000000b

mons139$:
	db	139			; old number = 099
	db	070			; hit point(max)
	db	060			; attack point
	db	125			; defence ratio
	db	055			; quick ratio
	db	115			; special ability
	db	ISHI_TYPE
	db	WATER_TYPE
	db	045			; obtain ratio
	db	199			; experience value
	db	066h			; Monster yx size
	dw	monschr99		; BitImage data (front)
	dw	monschr99b		; BitImage data (back)
	db	055			; skill 1
	db	110			; skill 2
	db	030			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	11100000b, 01111111b, 00001101b, 11000000b
	db	10000011b, 00001000b, 00010010b, 00000000b

mons140$:
	db	140			; old number = 090
	db	030			; hit point(max)
	db	080			; attack point
	db	090			; defence ratio
	db	055			; quick ratio
	db	045			; special ability
	db	ISHI_TYPE
	db	WATER_TYPE
	db	045			; obtain ratio
	db	119			; experience value
	db	055h			; Monster yx size
	dw	monschr90		; BitImage data (front)
	dw	monschr90b		; BitImage data (back)
	db	010			; skill 1
	db	106			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10100000b, 00111111b, 00001000b, 11000000b
	db	00000011b, 00001000b, 00010010b, 00000000b

mons141$:
	db	141			; old number = 091
	db	060			; hit point(max)
	db	115			; attack point
	db	105			; defence ratio
	db	080			; quick ratio
	db	070			; special ability
	db	ISHI_TYPE
	db	WATER_TYPE
	db	045			; obtain ratio
	db	201			; experience value
	db	066h			; Monster yx size
	dw	monschr91		; BitImage data (front)
	dw	monschr91b		; BitImage data (back)
	db	010			; skill 1
	db	106			; skill 2
	db	071			; skill 3
	db	000			; skill 4
	db	000			; pttern of experience
	db	10110110b, 01111111b, 00001101b, 11000000b
	db	10000011b, 00001000b, 00010010b, 00000000b

mons142$:
	db	142			; old number = 171
	db	080			; hit point(max)
	db	105			; attack point
	db	065			; defence ratio
	db	130			; quick ratio
	db	060			; special ability
	db	ISHI_TYPE
	db	HIKOU_TYPE
	db	045			; obtain ratio
	db	202			; experience value
	db	077h			; Monster yx size
	dw	monschr171		; BitImage data (front)
	dw	monschr171b		; BitImage data (back)
	db	017			; skill 1
	db	097			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00101010b, 01000011b, 01001000b, 11000000b
	db	01100011b, 00001100b, 00001010b, 00000000b

mons143$:
	db	143			; old number = 132
	db	160			; hit point(max)
	db	110			; attack point
	db	065			; defence ratio
	db	030			; quick ratio
	db	065			; special ability
	db	000
	db	000
	db	025			; obtain ratio
	db	154			; experience value
	db	077h			; Monster yx size
	dw	monschr132		; BitImage data (front)
	dw	monschr132b		; BitImage data (back)
	db	029			; skill 1
	db	133			; skill 2
	db	156			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	10110001b, 11111111b, 10101111b, 11010111b
	db	10101111b, 10101000b, 00110010b, 00000000b

mons144$:
	db	144			; old number = 074
	db	090			; hit point(max)
	db	085			; attack point
	db	100			; defence ratio
	db	085			; quick ratio
	db	125			; special ability
	db	KOORI_TYPE
	db	HIKOU_TYPE
	db	003			; obtain ratio
	db	215			; experience value
	db	077h			; Monster yx size
	dw	monschr74		; BitImage data (front)
	dw	monschr74b		; BitImage data (back)
	db	064			; skill 1
	db	058			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00101010b, 01111111b, 00001000b, 11000000b
	db	01000011b, 00001100b, 00001010b, 00000000b

mons145$:
	db	145			; old number = 075
	db	090			; hit point(max)
	db	090			; attack point
	db	085			; defence ratio
	db	100			; quick ratio
	db	125			; special ability
	db	THUNDER_TYPE
	db	HIKOU_TYPE
	db	003			; obtain ratio
	db	216			; experience value
	db	077h			; Monster yx size
	dw	monschr75		; BitImage data (front)
	dw	monschr75b		; BitImage data (back)
	db	084			; skill 1
	db	065			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00101010b, 01000011b, 10001000b, 11000001b
	db	01000011b, 00011100b, 01001010b, 00000000b

mons146$:
	db	146			; old number = 073
	db	090			; hit point(max)
	db	100			; attack point
	db	090			; defence ratio
	db	090			; quick ratio
	db	125			; special ability
	db	FIRE_TYPE
	db	HIKOU_TYPE
	db	003			; obtain ratio
	db	217			; experience value
	db	077h			; Monster yx size
	dw	monschr73		; BitImage data (front)
	dw	monschr73b		; BitImage data (back)
	db	064			; skill 1
	db	083			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	00101010b, 01000011b, 00001000b, 11000000b
	db	01100011b, 00001100b, 00001010b, 00000000b

mons147$:
	db	147			; old number = 088
	db	041			; hit point(max)
	db	064			; attack point
	db	045			; defence ratio
	db	050			; quick ratio
	db	050			; special ability
	db	DRAGON_TYPE
	db	DRAGON_TYPE
	db	045			; obtain ratio
	db	067			; experience value
	db	055h			; Monster yx size
	dw	monschr88		; BitImage data (front)
	dw	monschr88b		; BitImage data (back)
	db	035			; skill 1
	db	043			; skill 2
	db	000			; skill 3
	db	000			; skill 4
	db	005			; pttern of experience
	db	10100000b, 00111111b, 11001000b, 11000001b
	db	11100011b, 00011000b, 00010010b, 00000000b

mons148$:
	db	148			; old number = 089
	db	061			; hit point(max)
	db	084			; attack point
	db	065			; defence ratio
	db	070			; quick ratio
	db	070			; special ability
	db	DRAGON_TYPE
